AuditID,AuditDate,PlantLocation,Department,Auditor,AuditType,FindingType,Severity,Status,DaysToClose
AUD-000074,2024-10-16,Monterrey Plant,Quality,Lauren Daniels,Process Audit,Documentation,Minor,Closed,8.0
AUD-000075,2025-04-29,Pune Plant,HR,Amy Silva,Process Audit,Process Deviation,Minor,Closed,7.0
AUD-000076,2025-03-08,Suzhou Plant,Manufacturing,Sarah Moore,ISO 9001 Audit,Documentation,Major,In Progress,
AUD-000077,2024-12-21,Suzhou Plant,Maintenance,Angela Lopez,Safety Audit,Equipment Issue,Major,In Progress,
AUD-000078,2024-03-27,Pune Plant,EHS,Megan Young,ISO 9001 Audit,Calibration,Minor,Closed,12.0
AUD-000079,2025-04-08,Pune Plant,Supply Chain,Steve Sanchez,ISO 9001 Audit,Supplier Issue,Major,Open,
AUD-000080,2023-02-25,Juarez Plant,Quality,Lisa Barnes,Process Audit,Documentation,Major,Closed,34.0
AUD-000081,2024-06-16,Bangalore Plant,HR,Kelly Donovan,ISO 9001 Audit,Calibration,Minor,Closed,13.0
AUD-000082,2025-05-13,Pune Plant,Maintenance,Mike Allen,Supplier Audit,Training,Major,Closed,17.0
AUD-000083,2023-05-21,Houston Plant,Manufacturing,Michael Evans,Internal Audit,Supplier Issue,Major,Open,
AUD-000084,2023-11-09,Houston Plant,Engineering,Paul Jones,ISO 9001 Audit,Equipment Issue,Minor,Closed,8.0
AUD-000085,2024-06-08,Shanghai Plant,Warehouse,Zachary Ferrell,Process Audit,Calibration,Minor,Closed,11.0
AUD-000086,2023-08-10,Suzhou Plant,Manufacturing,Daniel Baker,ISO 9001 Audit,Equipment Issue,Critical,Closed,60.0
AUD-000087,2024-02-11,Houston Plant,Quality,Shirley Suarez,Internal Audit,Equipment Issue,Minor,In Progress,
AUD-000088,2024-09-09,Pune Plant,Quality,Christopher Bass,Supplier Audit,Supplier Issue,Major,Closed,20.0
AUD-000089,2025-05-27,Pune Plant,Warehouse,Lisa Archer,ISO 9001 Audit,Process Deviation,Minor,Closed,9.0
AUD-000090,2023-08-05,Juarez Plant,HR,Aimee Montoya,Process Audit,Process Deviation,Critical,Closed,27.0
AUD-000091,2023-12-27,Juarez Plant,Maintenance,Matthew Mcmillan,ISO 9001 Audit,Process Deviation,Major,Open,
AUD-000092,2024-07-03,Shanghai Plant,Warehouse,Brian Rodriguez,Supplier Audit,Process Deviation,Major,In Progress,
AUD-000093,2024-05-14,Bangalore Plant,EHS,Denise Jacobs,Internal Audit,Process Deviation,Minor,Closed,5.0
AUD-000094,2024-10-27,Frankfurt Plant,Supply Chain,Christina Walters,Supplier Audit,Calibration,Minor,Closed,12.0
AUD-000095,2024-07-19,Houston Plant,Manufacturing,John Whitehead,ISO 9001 Audit,Process Deviation,Minor,Closed,14.0
AUD-000096,2024-05-07,Pune Plant,EHS,Anna Henderson,Internal Audit,Calibration,Major,Closed,24.0
AUD-000097,2024-03-29,Bangalore Plant,HR,Aaron Wise,ISO 9001 Audit,Supplier Issue,Major,Closed,33.0
AUD-000098,2025-12-23,Bangalore Plant,Warehouse,Deborah Figueroa,Supplier Audit,Equipment Issue,Minor,In Progress,
AUD-000099,2025-07-18,Houston Plant,Maintenance,Jessica Smith,Supplier Audit,Documentation,Minor,Closed,11.0
AUD-000100,2024-01-15,Frankfurt Plant,Engineering,Stephen Mckee,Internal Audit,Training,Minor,Closed,7.0
AUD-000101,2024-08-29,Monterrey Plant,Engineering,Sandra Aguilar,Supplier Audit,Documentation,Minor,Closed,11.0
AUD-000102,2023-04-22,Juarez Plant,Maintenance,Cameron Parker,Internal Audit,Documentation,Major,Closed,38.0
AUD-000103,2024-08-05,Pune Plant,EHS,Rebecca Valencia,Supplier Audit,Process Deviation,Minor,Closed,9.0
AUD-000104,2023-08-22,Pune Plant,Quality,Christine Wright,Process Audit,Training,Minor,Closed,15.0
AUD-000105,2024-09-14,Suzhou Plant,Quality,Richard Henson,Safety Audit,Supplier Issue,Critical,Closed,3.0
AUD-000106,2024-04-07,Suzhou Plant,HR,Marc Moore,Supplier Audit,Supplier Issue,Minor,Closed,12.0
AUD-000107,2023-05-04,Houston Plant,Quality,Sharon Cherry,Supplier Audit,Equipment Issue,Critical,Closed,46.0
AUD-000108,2023-06-16,Monterrey Plant,Supply Chain,Sierra Johnson,Internal Audit,Process Deviation,Minor,Closed,8.0
AUD-000109,2025-07-11,Frankfurt Plant,EHS,Evelyn Galvan,ISO 9001 Audit,Documentation,Minor,Closed,10.0
AUD-000110,2024-04-23,Houston Plant,Maintenance,Sharon Cochran,ISO 9001 Audit,Documentation,Major,Closed,7.0
AUD-000111,2024-04-05,Shanghai Plant,Supply Chain,Richard Rodriguez,Internal Audit,Training,Critical,In Progress,
AUD-000112,2024-09-21,Frankfurt Plant,Maintenance,Shannon Walker,ISO 9001 Audit,Calibration,Minor,Closed,9.0
AUD-000113,2025-10-21,Suzhou Plant,EHS,Julia Torres,Supplier Audit,Supplier Issue,Minor,Closed,11.0
AUD-000114,2024-05-27,Pune Plant,Manufacturing,Crystal Johnson,Supplier Audit,Supplier Issue,Minor,Open,
AUD-000115,2023-03-24,Frankfurt Plant,Supply Chain,Garrett Lin,Process Audit,Supplier Issue,Minor,Closed,15.0
AUD-000116,2025-06-11,Suzhou Plant,EHS,Diana May,Supplier Audit,Calibration,Critical,Closed,36.0
AUD-000117,2023-08-03,Frankfurt Plant,Supply Chain,William Herrera,ISO 9001 Audit,Supplier Issue,Minor,Closed,7.0
AUD-000118,2023-03-17,Shanghai Plant,EHS,Ashley Waller,ISO 9001 Audit,Supplier Issue,Minor,Closed,8.0
AUD-000119,2023-01-03,Bangalore Plant,EHS,Victor Baker,Safety Audit,Process Deviation,Minor,Closed,13.0
AUD-000120,2025-06-24,Frankfurt Plant,Manufacturing,Jeffrey Chandler,ISO 9001 Audit,Equipment Issue,Minor,Closed,11.0
AUD-000121,2025-09-19,Houston Plant,Quality,Larry Dixon,Process Audit,Calibration,Minor,Closed,8.0
AUD-000122,2023-01-29,Shanghai Plant,HR,Kenneth Scott,ISO 9001 Audit,Documentation,Minor,Open,
AUD-000123,2023-11-12,Frankfurt Plant,EHS,April Frost,ISO 9001 Audit,Process Deviation,Critical,Closed,53.0
AUD-000124,2025-08-25,Houston Plant,Engineering,Michelle Harmon,Safety Audit,Supplier Issue,Minor,Closed,10.0
AUD-000125,2023-10-07,Suzhou Plant,Quality,Helen Jones,Supplier Audit,Supplier Issue,Minor,In Progress,
AUD-000126,2024-07-01,Juarez Plant,Manufacturing,Erin Edwards,Process Audit,Process Deviation,Minor,Closed,13.0
AUD-000127,2025-09-18,Suzhou Plant,Warehouse,Michelle Evans,ISO 9001 Audit,Calibration,Minor,In Progress,
AUD-000128,2024-01-22,Suzhou Plant,Engineering,Jason Powell,Internal Audit,Calibration,Minor,Closed,7.0
AUD-000129,2025-08-26,Monterrey Plant,HR,Cameron Fisher,ISO 9001 Audit,Documentation,Minor,Closed,8.0
AUD-000130,2023-09-16,Juarez Plant,Warehouse,Megan Orr,Internal Audit,Supplier Issue,Major,In Progress,
AUD-000131,2025-07-24,Monterrey Plant,Manufacturing,Elizabeth Kelley,Internal Audit,Process Deviation,Major,Closed,21.0
AUD-000132,2024-06-26,Shanghai Plant,Warehouse,Dustin Jordan,Supplier Audit,Equipment Issue,Major,Closed,12.0
AUD-000133,2025-12-28,Juarez Plant,HR,Mary Marshall,Safety Audit,Documentation,Critical,Closed,49.0
AUD-000134,2023-05-21,Houston Plant,Engineering,Daniel Kennedy,Internal Audit,Process Deviation,Major,Open,
AUD-000135,2023-07-21,Pune Plant,Quality,Rebecca Jackson,Internal Audit,Calibration,Minor,Closed,10.0
AUD-000136,2023-04-25,Houston Plant,Maintenance,Jose Schultz,Safety Audit,Process Deviation,Minor,Closed,10.0
AUD-000137,2024-01-04,Suzhou Plant,Supply Chain,Robert Potter,Safety Audit,Equipment Issue,Minor,Closed,9.0
AUD-000138,2024-05-08,Juarez Plant,EHS,Courtney Gonzalez,Supplier Audit,Process Deviation,Critical,Closed,22.0
AUD-000139,2024-06-06,Frankfurt Plant,Manufacturing,David Alvarez,Safety Audit,Training,Major,Closed,21.0
AUD-000140,2023-06-01,Frankfurt Plant,EHS,Angel Perry,ISO 9001 Audit,Equipment Issue,Critical,Open,
AUD-000141,2024-05-27,Suzhou Plant,EHS,Cheyenne Horton,ISO 9001 Audit,Documentation,Major,Closed,22.0
AUD-000142,2024-04-30,Frankfurt Plant,HR,David Douglas Jr.,Internal Audit,Equipment Issue,Minor,Closed,7.0
AUD-000143,2025-03-21,Pune Plant,Maintenance,Patricia Rodriguez,Safety Audit,Equipment Issue,Minor,In Progress,
AUD-000144,2025-10-14,Bangalore Plant,Maintenance,Christopher Rubio,Process Audit,Equipment Issue,Major,Closed,23.0
AUD-000145,2024-01-25,Monterrey Plant,Maintenance,Amber Wright,Internal Audit,Equipment Issue,Major,In Progress,
AUD-000146,2023-03-22,Bangalore Plant,Maintenance,Joyce Solis,Process Audit,Documentation,Major,Closed,28.0
AUD-000147,2024-08-27,Monterrey Plant,Warehouse,Victoria Larson,Safety Audit,Calibration,Major,Closed,41.0
AUD-000148,2025-12-23,Juarez Plant,Maintenance,Stephanie Salazar,Supplier Audit,Equipment Issue,Major,Closed,26.0
AUD-000149,2024-11-24,Houston Plant,Quality,Kathy Rivas,ISO 9001 Audit,Supplier Issue,Minor,Closed,10.0
AUD-000150,2025-01-19,Shanghai Plant,Quality,Stephanie Manning,ISO 9001 Audit,Calibration,Major,Closed,24.0
AUD-000151,2024-06-20,Shanghai Plant,HR,David Wright,Process Audit,Process Deviation,Major,Open,
AUD-000152,2023-02-21,Shanghai Plant,Warehouse,Pamela Boyd,ISO 9001 Audit,Equipment Issue,Critical,Closed,14.0
AUD-000153,2024-09-10,Pune Plant,HR,Denise Jones,Supplier Audit,Process Deviation,Minor,Closed,9.0
AUD-000154,2023-08-26,Suzhou Plant,Quality,Devon Flores,ISO 9001 Audit,Calibration,Minor,Closed,10.0
AUD-000155,2025-05-08,Juarez Plant,Supply Chain,Brenda Hall,Safety Audit,Process Deviation,Major,Closed,46.0
AUD-000156,2024-07-26,Juarez Plant,Manufacturing,Michelle Brown,Process Audit,Calibration,Major,Closed,23.0
AUD-000157,2023-07-23,Bangalore Plant,Warehouse,Joshua Perry,Internal Audit,Process Deviation,Minor,Open,
AUD-000158,2024-07-19,Juarez Plant,Engineering,Jason Stein,Internal Audit,Equipment Issue,Critical,Open,
AUD-000159,2024-03-10,Monterrey Plant,Manufacturing,Melissa Gates,Safety Audit,Training,Minor,Closed,11.0
AUD-000160,2023-05-21,Houston Plant,Engineering,Jamie Smith,Supplier Audit,Training,Minor,In Progress,
AUD-000161,2023-01-06,Monterrey Plant,Maintenance,Paul Castaneda,Safety Audit,Calibration,Major,Closed,24.0
AUD-000162,2023-12-24,Pune Plant,Quality,Jennifer Adkins,Supplier Audit,Training,Major,Closed,14.0
AUD-000163,2024-10-25,Suzhou Plant,Manufacturing,Lindsey Walker,Safety Audit,Documentation,Minor,Closed,13.0
AUD-000164,2023-05-11,Shanghai Plant,EHS,Jeffrey Johnson,ISO 9001 Audit,Supplier Issue,Minor,Closed,12.0
AUD-000165,2024-03-29,Frankfurt Plant,Manufacturing,Michael Powell,ISO 9001 Audit,Equipment Issue,Major,Open,
AUD-000166,2023-03-05,Suzhou Plant,Manufacturing,John Anderson,Internal Audit,Process Deviation,Critical,In Progress,
AUD-000167,2025-06-27,Monterrey Plant,Quality,Alyssa Long,Internal Audit,Training,Major,Closed,31.0
AUD-000168,2024-07-17,Frankfurt Plant,Warehouse,Alyssa Day,ISO 9001 Audit,Supplier Issue,Minor,Closed,6.0
AUD-000169,2025-05-31,Houston Plant,Quality,Joel Williams,ISO 9001 Audit,Process Deviation,Major,Closed,37.0
AUD-000170,2024-04-12,Suzhou Plant,HR,Daniel Murphy,Internal Audit,Calibration,Minor,Closed,5.0
AUD-000171,2025-05-24,Monterrey Plant,Warehouse,Jamie Walton,ISO 9001 Audit,Documentation,Major,Closed,30.0
AUD-000172,2023-07-06,Bangalore Plant,Quality,Darlene Miller,Process Audit,Supplier Issue,Minor,Closed,17.0
AUD-000173,2023-05-03,Suzhou Plant,Warehouse,Joshua Cooke,Internal Audit,Calibration,Major,Closed,16.0
AUD-000174,2024-10-01,Monterrey Plant,Warehouse,Matthew Harrington,ISO 9001 Audit,Training,Minor,Closed,8.0
AUD-000175,2023-08-10,Frankfurt Plant,Warehouse,Nicole Herring,Safety Audit,Training,Major,Closed,25.0
AUD-000176,2025-05-28,Frankfurt Plant,Manufacturing,Alex Hernandez,Internal Audit,Training,Major,Closed,20.0
AUD-000177,2024-07-13,Monterrey Plant,Maintenance,Michael Elliott,Process Audit,Supplier Issue,Critical,Closed,20.0
AUD-000178,2025-03-31,Pune Plant,Quality,Michael Wang,Internal Audit,Equipment Issue,Minor,Closed,10.0
AUD-000179,2025-12-22,Monterrey Plant,Engineering,Lawrence Adkins,Supplier Audit,Calibration,Minor,Closed,6.0
AUD-000180,2024-10-26,Pune Plant,Quality,Robert Oconnell,Internal Audit,Calibration,Major,Closed,29.0
AUD-000181,2025-06-26,Frankfurt Plant,HR,Alexander Collins,Process Audit,Supplier Issue,Minor,Closed,6.0
AUD-000182,2023-08-22,Juarez Plant,Warehouse,Tina Sanders,Safety Audit,Equipment Issue,Minor,Closed,15.0
AUD-000183,2024-09-23,Pune Plant,Manufacturing,Angela Vaughn,Internal Audit,Training,Minor,Open,
AUD-000184,2024-09-09,Frankfurt Plant,Engineering,Ashley Barton,Supplier Audit,Documentation,Major,In Progress,
AUD-000185,2023-01-16,Suzhou Plant,EHS,Lindsay Martinez,Safety Audit,Equipment Issue,Major,Closed,18.0
AUD-000186,2024-04-16,Pune Plant,Warehouse,Dr. Hannah Patterson,ISO 9001 Audit,Documentation,Minor,In Progress,
AUD-000187,2025-07-30,Suzhou Plant,Quality,Jonathan Peterson,ISO 9001 Audit,Calibration,Major,Closed,22.0
AUD-000188,2023-08-24,Juarez Plant,HR,Samantha Garcia,Supplier Audit,Documentation,Minor,Closed,12.0
AUD-000189,2025-06-13,Shanghai Plant,Quality,Madison Poole,ISO 9001 Audit,Calibration,Minor,Closed,5.0
AUD-000190,2024-11-26,Shanghai Plant,Engineering,Jessica Gross,Safety Audit,Supplier Issue,Minor,Closed,10.0
AUD-000191,2024-02-02,Monterrey Plant,Warehouse,Debra Morton,Process Audit,Documentation,Minor,Open,
AUD-000192,2023-10-27,Shanghai Plant,Maintenance,Karen Graham,Process Audit,Equipment Issue,Minor,Closed,14.0
AUD-000193,2025-10-08,Juarez Plant,EHS,Debra Christian,Safety Audit,Equipment Issue,Major,In Progress,
AUD-000194,2024-10-23,Juarez Plant,Warehouse,Angelica Keith,Supplier Audit,Calibration,Minor,Closed,4.0
AUD-000195,2023-04-26,Juarez Plant,Warehouse,John Bishop,Internal Audit,Documentation,Minor,Closed,10.0
AUD-000196,2025-01-25,Shanghai Plant,Maintenance,Allen Rosales,Safety Audit,Supplier Issue,Minor,In Progress,
AUD-000197,2025-11-04,Pune Plant,HR,Daniel Salinas,ISO 9001 Audit,Supplier Issue,Minor,Closed,10.0
AUD-000198,2024-01-21,Pune Plant,Warehouse,Spencer Haynes,ISO 9001 Audit,Documentation,Major,Closed,31.0
AUD-000199,2024-12-04,Houston Plant,Quality,Adam Vaughan,ISO 9001 Audit,Process Deviation,Minor,Closed,5.0
AUD-000200,2025-12-09,Suzhou Plant,Supply Chain,Nathan Freeman,ISO 9001 Audit,Calibration,Minor,Open,
AUD-000201,2023-04-18,Suzhou Plant,Warehouse,Melissa Brewer,Supplier Audit,Calibration,Minor,Closed,5.0
AUD-000202,2023-11-04,Bangalore Plant,Warehouse,Ricky Davis II,Supplier Audit,Equipment Issue,Minor,Closed,11.0
AUD-000203,2025-03-13,Frankfurt Plant,Supply Chain,Elizabeth Perkins,Safety Audit,Process Deviation,Minor,Open,
AUD-000204,2024-11-03,Shanghai Plant,Supply Chain,Joseph Coleman,ISO 9001 Audit,Supplier Issue,Major,In Progress,
AUD-000205,2025-01-11,Houston Plant,Manufacturing,Erin Warner,Supplier Audit,Process Deviation,Minor,Closed,11.0
AUD-000206,2024-01-29,Frankfurt Plant,Engineering,David Martinez,Internal Audit,Supplier Issue,Critical,Closed,48.0
AUD-000207,2025-12-14,Monterrey Plant,Manufacturing,Bryan Herrera,Safety Audit,Process Deviation,Major,In Progress,
AUD-000208,2023-11-12,Monterrey Plant,Supply Chain,Cathy Robinson,ISO 9001 Audit,Documentation,Minor,Closed,11.0
AUD-000209,2025-04-21,Juarez Plant,Warehouse,Dr. William Warren,Safety Audit,Calibration,Major,Closed,19.0
AUD-000210,2025-07-08,Juarez Plant,Engineering,Brian Lee,Process Audit,Calibration,Minor,Closed,10.0
AUD-000211,2025-06-21,Suzhou Plant,EHS,Christopher Smith,Process Audit,Training,Major,In Progress,
AUD-000212,2023-10-11,Bangalore Plant,Maintenance,Denise Mccann,Safety Audit,Documentation,Minor,Closed,11.0
AUD-000213,2025-11-22,Frankfurt Plant,Quality,Melissa Martinez,ISO 9001 Audit,Supplier Issue,Minor,In Progress,
AUD-000214,2023-10-29,Juarez Plant,HR,Katherine Salas,Supplier Audit,Documentation,Minor,Open,
AUD-000215,2025-04-29,Suzhou Plant,Manufacturing,Julie Alexander,Internal Audit,Calibration,Minor,Closed,7.0
AUD-000216,2024-04-04,Bangalore Plant,Manufacturing,Anthony Everett,Process Audit,Training,Minor,Closed,16.0
AUD-000217,2023-03-20,Monterrey Plant,Maintenance,Rodney Morales,ISO 9001 Audit,Process Deviation,Critical,Closed,52.0
AUD-000218,2023-01-11,Monterrey Plant,Quality,Mark Brown,Safety Audit,Equipment Issue,Minor,Closed,5.0
AUD-000219,2025-12-16,Frankfurt Plant,HR,Justin Torres,Internal Audit,Documentation,Minor,Closed,12.0
AUD-000220,2024-05-03,Shanghai Plant,HR,Bailey Duran DDS,Internal Audit,Process Deviation,Major,Closed,16.0
AUD-000221,2023-02-03,Pune Plant,Engineering,Courtney Mills,Safety Audit,Calibration,Major,Closed,31.0
AUD-000222,2024-05-07,Bangalore Plant,HR,Jeremy Dalton,Internal Audit,Supplier Issue,Minor,Closed,14.0
AUD-000223,2025-11-05,Suzhou Plant,Manufacturing,Elizabeth Oliver DDS,Supplier Audit,Calibration,Minor,Closed,7.0
AUD-000224,2023-02-03,Shanghai Plant,Warehouse,Theresa Clark,Safety Audit,Equipment Issue,Major,Closed,33.0
AUD-000225,2024-11-11,Monterrey Plant,Supply Chain,Matthew Moore,ISO 9001 Audit,Equipment Issue,Minor,Closed,11.0
AUD-000226,2025-09-07,Juarez Plant,Supply Chain,Benjamin Smith,Internal Audit,Calibration,Major,Closed,32.0
AUD-000227,2024-02-17,Bangalore Plant,Manufacturing,Kirk Carter,Supplier Audit,Supplier Issue,Major,In Progress,
